rank,ChineseName,originalName,rating,votes
1,肖申克的救赎,The Shawshank Redemption,9.6,1448323
2,霸王别姬,霸王别姬,9.6,1072767
3,这个杀手不太冷,Léon,9.4,1319355
4,阿甘正传,Forrest Gump,9.4,1139352
5,美丽人生,La vita è bella,9.5,667715
6,泰坦尼克号,Titanic,9.3,1080417
7,千与千寻,千と千尋の神隠し,9.3,1065987
8,辛德勒的名单,Schindler's List,9.5,594344
9,盗梦空间,Inception,9.3,1139626
10,忠犬八公的故事,Hachi: A Dog's Tale,9.3,755700
11,机器人总动员,WALL·E,9.3,754617
12,三傻大闹宝莱坞,3 Idiots,9.2,1026073
13,海上钢琴师,La leggenda del pianista sull'oceano,9.2,839488
14,放牛班的春天,Les choristes,9.3,712036
15,楚门的世界,The Truman Show,9.2,789078
16,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,9.2,794986
17,星际穿越,Interstellar,9.2,816223
18,龙猫,となりのトトロ,9.2,703839
19,教父,The Godfather,9.3,514915
20,熔炉,도가니,9.3,463659
21,无间道,無間道,9.2,654030
22,疯狂动物城,Zootopia,9.2,902001
23,当幸福来敲门,The Pursuit of Happyness,9.0,831836
24,怦然心动,Flipped,9.0,921557
25,触不可及,Intouchables,9.2,548735
26,蝙蝠侠：黑暗骑士,The Dark Knight,9.1,533393
27,乱世佳人,Gone with the Wind,9.2,380212
28,活着,活着,9.2,424297
29,控方证人,Witness for the Prosecution,9.6,186437
30,少年派的奇幻漂流,Life of Pi,9.0,824408
31,指环王3：王者无敌,The Lord of the Rings: The Return of the King,9.2,416142
32,天堂电影院,Nuovo Cinema Paradiso,9.2,405781
33,鬼子来了,鬼子来了,9.2,346237
34,天空之城,天空の城ラピュタ,9.1,486826
35,十二怒汉,12 Angry Men,9.4,246224
36,摔跤吧！爸爸,Dangal,9.0,800674
37,飞屋环游记,Up,9.0,740656
38,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,9.0,642827
39,搏击俱乐部,Fight Club,9.0,527939
40,哈尔的移动城堡,ハウルの動く城,9.0,542277
41,罗马假日,Roman Holiday,9.0,554112
42,闻香识女人,Scent of a Woman,9.0,474803
43,末代皇帝,The Last Emperor,9.2,329510
44,辩护人,변호인,9.2,327557
45,窃听风暴,Das Leben der Anderen,9.1,328806
46,寻梦环游记,Coco,9.0,764917
47,素媛,소원,9.2,303024
48,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,360449
49,死亡诗社,Dead Poets Society,9.0,400747
50,飞越疯人院,One Flew Over the Cuckoo's Nest,9.1,363451
51,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.0,390713
52,教父2,The Godfather: Part Ⅱ,9.2,279741
53,V字仇杀队,V for Vendetta,8.9,612340
54,指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,9.0,438196
55,狮子王,The Lion King,9.0,416693
56,美丽心灵,A Beautiful Mind,9.0,426231
57,饮食男女,飲食男女,9.1,300472
58,海豚湾,The Cove,9.3,239653
59,情书,Love Letter,8.9,527379
60,钢琴家,The Pianist,9.1,281609
61,本杰明·巴顿奇事,The Curious Case of Benjamin Button,8.8,556095
62,看不见的客人,Contratiempo,8.8,602072
63,美国往事,Once Upon a Time in America,9.1,240078
64,黑客帝国,The Matrix,8.9,416158
65,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,8.9,440649
66,西西里的美丽传说,Malèna,8.8,528626
67,大闹天宫,大闹天宫,9.3,175073
68,小鞋子,بچههای آسمان,9.2,207400
69,拯救大兵瑞恩,Saving Private Ryan,9.0,355185
70,让子弹飞,让子弹飞,8.8,903763
71,致命魔术,The Prestige,8.8,481430
72,七宗罪,Se7en,8.8,575883
73,音乐之声,The Sound of Music,9.0,325264
74,被嫌弃的松子的一生,嫌われ松子の一生,8.9,428814
75,低俗小说,Pulp Fiction,8.8,476254
76,猫鼠游戏,Catch Me If You Can,8.9,377977
77,沉默的羔羊,The Silence of the Lambs,8.8,480779
78,天使爱美丽,Le fabuleux destin d'Amélie Poulain,8.7,638976
79,勇敢的心,Braveheart,8.9,378501
80,蝴蝶效应,The Butterfly Effect,8.8,529379
81,春光乍泄,春光乍洩,8.9,353319
82,剪刀手爱德华,Edward Scissorhands,8.7,654791
83,心灵捕手,Good Will Hunting,8.8,387716
84,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,9.0,240816
85,禁闭岛,Shutter Island,8.7,516902
86,布达佩斯大饭店,The Grand Budapest Hotel,8.8,479541
87,入殓师,おくりびと,8.8,393701
88,阿凡达,Avatar,8.7,757306
89,幽灵公主,もののけ姫,8.9,324715
90,阳光灿烂的日子,阳光灿烂的日子,8.8,368636
91,致命ID,Identity,8.7,440575
92,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.7,498462
93,第六感,The Sixth Sense,8.8,316289
94,摩登时代,Modern Times,9.2,140736
95,断背山,Brokeback Mountain,8.7,434417
96,重庆森林,重慶森林,8.7,454584
97,狩猎,Jagten,9.1,190069
98,玛丽和马克思,Mary and Max,8.9,283387
99,喜剧之王,喜劇之王,8.7,489078
100,告白,告白,8.7,454356
101,消失的爱人,Gone Girl,8.7,506546
102,大鱼,Big Fish,8.8,336326
103,一一,一一,9.0,204518
104,阳光姐妹淘,써니,8.8,364808
105,射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,372378
106,爱在黎明破晓前,Before Sunrise,8.8,313803
